2013-05-24 06:37:44 UTC	1.8.7	74.2875 requests per second	ruby 1.8.7 (2012-10-12 patchlevel 371) [i686-darwin10.8.0]
2013-05-24 06:56:10 UTC	1.8.7-head	75.64 requests per second	ruby 1.8.7 (2013-05-18 patchlevel 372) [i686-darwin10.8.0]
2013-05-24 07:09:36 UTC	1.9.2	105.16 requests per second	ruby 1.9.2p320 (2012-04-20 revision 35421) [x86_64-darwin10.8.0]
2013-05-24 07:30:23 UTC	1.9.2-head	104.2775 requests per second	ruby 1.9.2p325 (2013-04-15) [x86_64-darwin10.8.0]
2013-05-24 07:44:12 UTC	1.9.3	99.815 requests per second	ruby 1.9.3p429 (2013-05-15 revision 40747) [x86_64-darwin10.8.0]
2013-05-24 08:04:32 UTC	1.9.3-head	107.71 requests per second	ruby 1.9.3p430 (2013-05-15) [x86_64-darwin10.8.0]
2013-05-24 08:17:37 UTC	2.0.0	116.44999999999999 requests per second	ruby 2.0.0p195 (2013-05-14 revision 40734) [x86_64-darwin10.8.0]
2013-05-24 08:39:22 UTC	2.0.0-head	117.5975 requests per second	ruby 2.0.0p197 (2013-05-20) [x86_64-darwin10.8.0]
2013-05-24 08:41:59 UTC	ruby-head	failed to install ruby-head	failed to install ruby-head
2013-05-24 09:07:04 UTC	jruby	77.895 requests per second	jruby 1.7.4 (1.9.3p392) 2013-05-16 2390d3b on Java HotSpot(TM) 64-Bit Server VM 1.6.0_45-b06-451-10M4406 [darwin-x86_64]
2013-05-24 10:03:14 UTC	jruby-head	78.01 requests per second	jruby 1.7.5.dev (1.9.3p392) 2013-05-24 fffffff on Java HotSpot(TM) 64-Bit Server VM 1.6.0_45-b06-451-10M4406 [darwin-x86_64]
2013-05-24 10:56:31 UTC	rbx-head	107.245 requests per second	rubinius 2.0.0.rc1 (1.8.7 a6207672 yyyy-mm-dd JI) [x86_64-apple-darwin10.8.0]
2013-05-26 06:36:07 UTC	1.8.7	74.24 requests per second	ruby 1.8.7 (2012-10-12 patchlevel 371) [i686-darwin10.8.0]
2013-05-26 06:54:39 UTC	1.8.7-head	75.2675 requests per second	ruby 1.8.7 (2013-05-18 patchlevel 372) [i686-darwin10.8.0]
2013-05-26 07:08:05 UTC	1.9.2	104.745 requests per second	ruby 1.9.2p320 (2012-04-20 revision 35421) [x86_64-darwin10.8.0]
2013-05-26 07:29:02 UTC	1.9.2-head	104.5475 requests per second	ruby 1.9.2p325 (2013-04-15) [x86_64-darwin10.8.0]
2013-05-26 07:43:03 UTC	1.9.3	99.4325 requests per second	ruby 1.9.3p429 (2013-05-15 revision 40747) [x86_64-darwin10.8.0]
2013-05-26 08:03:44 UTC	1.9.3-head	108.395 requests per second	ruby 1.9.3p430 (2013-05-15) [x86_64-darwin10.8.0]
2013-05-26 08:16:49 UTC	2.0.0	116.00999999999999 requests per second	ruby 2.0.0p195 (2013-05-14 revision 40734) [x86_64-darwin10.8.0]
2013-05-26 08:39:05 UTC	2.0.0-head	116.54749999999999 requests per second	ruby 2.0.0p197 (2013-05-20) [x86_64-darwin10.8.0]
2013-05-26 08:41:22 UTC	ruby-head	failed to install ruby-head	failed to install ruby-head
2013-05-26 09:07:49 UTC	jruby	77.48 requests per second	jruby 1.7.4 (1.9.3p392) 2013-05-16 2390d3b on Java HotSpot(TM) 64-Bit Server VM 1.6.0_45-b06-451-10M4406 [darwin-x86_64]
2013-05-26 10:05:23 UTC	jruby-head	78.275 requests per second	jruby 1.7.5.dev (1.9.3p392) 2013-05-26 fffffff on Java HotSpot(TM) 64-Bit Server VM 1.6.0_45-b06-451-10M4406 [darwin-x86_64]
2013-05-26 10:59:32 UTC	rbx-head	107.1525 requests per second	rubinius 2.0.0.rc1 (1.8.7 2feba864 yyyy-mm-dd JI) [x86_64-apple-darwin10.8.0]
2013-05-28 05:23:17 UTC	1.8.7	74.175 requests per second	ruby 1.8.7 (2012-10-12 patchlevel 371) [i686-darwin10.8.0]
2013-05-28 05:41:39 UTC	1.8.7-head	75.6775 requests per second	ruby 1.8.7 (2013-05-18 patchlevel 372) [i686-darwin10.8.0]
2013-05-28 05:55:05 UTC	1.9.2	104.89250000000001 requests per second	ruby 1.9.2p320 (2012-04-20 revision 35421) [x86_64-darwin10.8.0]
2013-05-28 06:16:03 UTC	1.9.2-head	104.665 requests per second	ruby 1.9.2p325 (2013-04-15) [x86_64-darwin10.8.0]
2013-05-28 06:29:52 UTC	1.9.3	99.675 requests per second	ruby 1.9.3p429 (2013-05-15 revision 40747) [x86_64-darwin10.8.0]
2013-05-28 06:50:14 UTC	1.9.3-head	108.0575 requests per second	ruby 1.9.3p430 (2013-05-15) [x86_64-darwin10.8.0]
2013-05-28 07:03:20 UTC	2.0.0	116.08999999999999 requests per second	ruby 2.0.0p195 (2013-05-14 revision 40734) [x86_64-darwin10.8.0]
2013-05-28 07:26:00 UTC	2.0.0-head	118.6625 requests per second	ruby 2.0.0p197 (2013-05-20) [x86_64-darwin10.8.0]
2013-05-28 07:28:10 UTC	ruby-head	failed to install ruby-head	failed to install ruby-head
2013-05-28 07:53:36 UTC	jruby	77.8225 requests per second	jruby 1.7.4 (1.9.3p392) 2013-05-16 2390d3b on Java HotSpot(TM) 64-Bit Server VM 1.6.0_45-b06-451-10M4406 [darwin-x86_64]
2013-05-28 08:50:35 UTC	jruby-head	77.7275 requests per second	jruby 1.7.5.dev (1.9.3p392) 2013-05-28 fffffff on Java HotSpot(TM) 64-Bit Server VM 1.6.0_45-b06-451-10M4406 [darwin-x86_64]
2013-05-28 09:44:39 UTC	rbx-head	106.295 requests per second	rubinius 2.0.0.rc1 (1.8.7 4237c16c yyyy-mm-dd JI) [x86_64-apple-darwin10.8.0]
2013-05-30 05:23:17 UTC	1.8.7	73.625 requests per second	ruby 1.8.7 (2012-10-12 patchlevel 371) [i686-darwin10.8.0]
2013-05-30 05:43:27 UTC	1.8.7-head	74.895 requests per second	ruby 1.8.7 (2013-05-18 patchlevel 372) [i686-darwin10.8.0]
2013-05-30 05:56:56 UTC	1.9.2	103.60000000000001 requests per second	ruby 1.9.2p320 (2012-04-20 revision 35421) [x86_64-darwin10.8.0]
2013-05-30 06:18:31 UTC	1.9.2-head	102.98 requests per second	ruby 1.9.2p325 (2013-04-15) [x86_64-darwin10.8.0]
2013-05-30 06:32:25 UTC	1.9.3	97.92 requests per second	ruby 1.9.3p429 (2013-05-15 revision 40747) [x86_64-darwin10.8.0]
2013-05-30 06:53:55 UTC	1.9.3-head	106.965 requests per second	ruby 1.9.3p432 (2013-05-29) [x86_64-darwin10.8.0]
2013-05-30 07:07:07 UTC	2.0.0	114.9375 requests per second	ruby 2.0.0p195 (2013-05-14 revision 40734) [x86_64-darwin10.8.0]
2013-05-30 07:33:24 UTC	2.0.0-head	116.24 requests per second	ruby 2.0.0p197 (2013-05-20) [x86_64-darwin10.8.0]
2013-05-30 07:36:53 UTC	ruby-head	failed to install ruby-head	failed to install ruby-head
2013-05-30 08:04:53 UTC	jruby	75.57 requests per second	jruby 1.7.4 (1.9.3p392) 2013-05-16 2390d3b on Java HotSpot(TM) 64-Bit Server VM 1.6.0_45-b06-451-10M4406 [darwin-x86_64]
